f1,precision,recall,rocauc,model,fold
0.612994372844696,0.9234042763710022,0.45877379179000854,0.7420405745506287,HexGIN,0
0.6467532515525818,0.8383838534355164,0.5264270901679993,0.7441993951797485,SAGE,0
0.5343915224075317,0.71378093957901,0.4270613193511963,0.6575813293457031,MLP,0
0.7212681770324707,0.9612675905227661,0.5771670341491699,0.8361321687698364,HexGIN,1
0.6745718121528625,0.8951048851013184,0.5412262082099915,0.7682821154594421,SAGE,1
0.5615894198417664,0.7517730593681335,0.4482029676437378,0.7016792297363281,MLP,1
0.6384720206260681,0.8999999761581421,0.4947145879268646,0.7978938221931458,HexGIN,2
0.616797924041748,0.8131487965583801,0.49682876467704773,0.7017910480499268,SAGE,2
0.5780051350593567,0.7313916087150574,0.47780126333236694,0.6998534202575684,MLP,2
0.7017082571983337,0.9270833134651184,0.5644820332527161,0.8288599252700806,HexGIN,3
0.6981366276741028,0.8463855385780334,0.5940803289413452,0.7889187335968018,SAGE,3
0.6111801266670227,0.740963876247406,0.52008455991745,0.7227314710617065,MLP,3
0.7131979465484619,0.8920634984970093,0.5940803289413452,0.8193483352661133,HexGIN,4
0.6779220700263977,0.8787878751754761,0.5517970323562622,0.7742379903793335,SAGE,4
0.6385093331336975,0.7740963697433472,0.5433403849601746,0.7391979098320007,MLP,4
0.6973180174827576,0.8806451559066772,0.5771670341491699,0.8148898482322693,HexGIN,5
0.6770334839820862,0.7796143293380737,0.5983086824417114,0.7569291591644287,SAGE,5
0.6052963137626648,0.75,0.5073995590209961,0.7287790775299072,MLP,5
0.7722095847129822,0.8370370268821716,0.7167019248008728,0.875545859336853,HexGIN,6
0.7298170328140259,0.7434210777282715,0.7167019248008728,0.8048665523529053,SAGE,6
0.662420392036438,0.8333333134651184,0.5496828556060791,0.7706331610679626,MLP,6
0.7662485837936401,0.8316831588745117,0.7103593945503235,0.8670980930328369,HexGIN,7
0.7374179363250732,0.7641723155975342,0.7124735713005066,0.8101207613945007,SAGE,7
0.7142857313156128,0.7701711654663086,0.6659619212150574,0.7989263534545898,MLP,7
0.7748132348060608,0.7823275923728943,0.7674418687820435,0.8590370416641235,HexGIN,8
0.7283950448036194,0.7094188332557678,0.7484143972396851,0.7945327162742615,SAGE,8
0.6928251385688782,0.7374701499938965,0.6532769799232483,0.7575527429580688,MLP,8
0.7986651659011841,0.84272301197052,0.7589852213859558,0.8897304534912109,HexGIN,9
0.7348242998123169,0.7403433322906494,0.7293868660926819,0.7984057068824768,SAGE,9
0.731452465057373,0.7231404781341553,0.7399576902389526,0.7906954288482666,MLP,9
0.7948969602584839,0.7417582273483276,0.8562368154525757,0.8700973391532898,HexGIN,10
0.7699711322784424,0.7067137956619263,0.8456659913063049,0.8420410752296448,SAGE,10
0.7492446899414062,0.7153846025466919,0.7864693403244019,0.8052688837051392,MLP,10
0.7843137383460999,0.8089887499809265,0.7610993385314941,0.8715589642524719,HexGIN,11
0.7544554471969604,0.7094972133636475,0.8054968118667603,0.8255434036254883,SAGE,11
0.7495182752609253,0.6884955763816833,0.8224101662635803,0.8166062831878662,MLP,11
0.7995991706848145,0.7599999904632568,0.8435518145561218,0.8777471780776978,HexGIN,12
0.7596330046653748,0.6709886789321899,0.8752642869949341,0.8493289351463318,SAGE,12
0.7269076108932495,0.6921606063842773,0.7653276920318604,0.7918463945388794,MLP,12
0.7842003703117371,0.7203539609909058,0.8604651093482971,0.863243043422699,HexGIN,13
0.767399251461029,0.6768982410430908,0.8858351111412048,0.8367399573326111,SAGE,13
0.7404718399047852,0.6486486196517944,0.8625792860984802,0.7873587608337402,MLP,13
0.7918367385864258,0.7652859687805176,0.8202959895133972,0.853181779384613,HexGIN,14
0.7733579874038696,0.6875,0.8837209343910217,0.8399089574813843,SAGE,14
0.7377049326896667,0.6480000019073486,0.8562368154525757,0.7970177531242371,MLP,14
0.7956403493881226,0.6974522471427917,0.9260042309761047,0.8846014142036438,HexGIN,15
0.775547444820404,0.6821829676628113,0.8985201120376587,0.8362013697624207,SAGE,15
0.7290379405021667,0.6257575750350952,0.873150110244751,0.7971585988998413,MLP,15
0.8157156109809875,0.7315436005592346,0.9217758774757385,0.8923540711402893,HexGIN,16
