f1,precision,recall,rocauc,model,fold
0.8218390941619873,0.7513135075569153,0.9069767594337463,0.9029450416564941,HexGIN,24
0.7683032155036926,0.6482558250427246,0.94291752576828,0.8599957823753357,SAGE,24
0.7209499478340149,0.6019830107688904,0.8985201120376587,0.7873901128768921,MLP,24
0.7879325747489929,0.6788991093635559,0.9386892318725586,0.8862240314483643,HexGIN,25
0.7642418742179871,0.652694582939148,0.9217758774757385,0.8191450238227844,SAGE,25
0.7338129281997681,0.5899742841720581,0.9704017043113708,0.8083663582801819,MLP,25
0.8171064853668213,0.7172523736953735,0.9492600560188293,0.8944883942604065,HexGIN,26
0.7579832077026367,0.6290097832679749,0.9534883499145508,0.8414555191993713,SAGE,26
0.7299842834472656,0.5805243253707886,0.9830867052078247,0.8285961747169495,MLP,26
0.7963302731513977,0.7034035921096802,0.9175475835800171,0.8823130130767822,HexGIN,27
0.7537688612937927,0.6241331696510315,0.9513742327690125,0.8172879219055176,SAGE,27
0.739635169506073,0.608458399772644,0.94291752576828,0.8022227883338928,MLP,27
0.8104693293571472,0.7070866227149963,0.9492600560188293,0.9114620685577393,HexGIN,28
0.7614213228225708,0.6346967816352844,0.9513742327690125,0.8515771627426147,SAGE,28
0.7329590916633606,0.5904392600059509,0.9661733508110046,0.7936186194419861,MLP,28
0.7956003546714783,0.7022653818130493,0.9175475835800171,0.8821252584457397,HexGIN,29
0.7613344788551331,0.6393678188323975,0.9408034086227417,0.8349878191947937,SAGE,29
0.7437295317649841,0.7680180072784424,0.7209302186965942,0.81634920835495,MLP,29
0.8112874627113342,0.6959152817726135,0.972515881061554,0.9067443013191223,HexGIN,30
0.7580372095108032,0.6318758726119995,0.9471458792686462,0.8393458127975464,SAGE,30
0.7351694703102112,0.7367303371429443,0.7336152195930481,0.8039056658744812,MLP,30
0.8214936256408691,0.7215999960899353,0.9534883499145508,0.907960057258606,HexGIN,31
0.7461724281311035,0.6028645634651184,0.9788583517074585,0.826359212398529,SAGE,31
0.7233065366744995,0.7914572954177856,0.6659619212150574,0.8143513202667236,MLP,31
0.8053333163261414,0.6947852969169617,0.957716703414917,0.901740550994873,HexGIN,32
0.7516891956329346,0.6258790493011475,0.9408034086227417,0.8081026077270508,SAGE,32
0.7079856991767883,0.811475396156311,0.6279069781303406,0.8270541429519653,MLP,32
0.7947598099708557,0.821670413017273,0.7695560455322266,0.8870195150375366,HexGIN,33
0.7531172037124634,0.6205479502677917,0.957716703414917,0.8336759805679321,SAGE,33
0.7093595862388611,0.8495575189590454,0.6088795065879822,0.839681088924408,MLP,33
0.7639485001564026,0.6430636048316956,0.9408034086227417,0.876616358757019,HexGIN,34
0.7576509714126587,0.6222826242446899,0.9682875275611877,0.8168878555297852,SAGE,34
0.7384230494499207,0.9049080014228821,0.6236786246299744,0.8780533075332642,MLP,34
0.8333333134651184,0.7478991746902466,0.9408034086227417,0.914617657661438,HexGIN,35
0.758847713470459,0.6212937831878662,0.9746299982070923,0.814811646938324,SAGE,35
0.7560386657714844,0.8816901445388794,0.6617336273193359,0.8730025887489319,MLP,35
0.8192341923713684,0.7076923251152039,0.972515881061554,0.9088428616523743,HexGIN,36
0.7526881694793701,0.6182065010070801,0.9619450569152832,0.8269022107124329,SAGE,36
0.7220125794410706,0.8913043737411499,0.6067653298377991,0.8522520065307617,MLP,36
0.8036697506904602,0.7098865509033203,0.9260042309761047,0.8915942907333374,HexGIN,37
0.7428571581840515,0.605053186416626,0.9619450569152832,0.8109297156333923,SAGE,37
0.7857142686843872,0.8321512937545776,0.7441860437393188,0.8597320914268494,MLP,37
0.836244523525238,0.8645598292350769,0.8097251653671265,0.9075131416320801,HexGIN,38
0.7615062594413757,0.6301938891410828,0.9619450569152832,0.8189640045166016,SAGE,38
0.8158698081970215,0.7862744927406311,0.8477801084518433,0.8730740547180176,MLP,38
0.7734242081642151,0.6476462483406067,0.9598308801651001,0.9015573263168335,HexGIN,39
0.7502074837684631,0.6174863576889038,0.9556025266647339,0.7832958698272705,SAGE,39
0.8088235259056091,0.8037578463554382,0.8139534592628479,0.8852338790893555,MLP,39
0.8358209133148193,0.7479131817817688,0.9471458792686462,0.9105905890464783,HexGIN,40
0.7574257254600525,0.6211096048355103,0.9704017043113708,0.7879398465156555,SAGE,40
0.8094302415847778,0.7559633255004883,0.8710359334945679,0.8863222599029541,MLP,40
0.8308026194572449,0.8530066609382629,0.8097251653671265,0.9090954065322876,HexGIN,41
0.7566224932670593,0.6217687129974365,0.9661733508110046,0.797732949256897,SAGE,41
0.8209693431854248,0.7713754773139954,0.8773784637451172,0.8808088898658752,MLP,41
0.8310810923576355,0.8891566395759583,0.7801268696784973,0.911531388759613,HexGIN,42
0.7526132464408875,0.8350515365600586,0.6849894523620605,0.8466158509254456,SAGE,42
0.833174467086792,0.7586805820465088,0.9238900542259216,0.9094395637512207,MLP,42
0.835386335849762,0.8880952596664429,0.788583517074585,0.9297073483467102,HexGIN,43
0.7491856813430786,0.6092715263366699,0.972515881061554,0.8276754021644592,SAGE,43
0.8216007947921753,0.7553191781044006,0.900634229183197,0.886492133140564,MLP,43
0.8104426860809326,0.875,0.7547568678855896,0.9088674187660217,HexGIN,44
0.7654867172241211,0.8027842044830322,0.731501042842865,0.8302119970321655,SAGE,44
0.804347813129425,0.7036449909210205,0.9386892318725586,0.8939251899719238,MLP,44
0.8143176436424255,0.8646080493927002,0.7695560455322266,0.9043374061584473,HexGIN,45
0.7600896954536438,0.8090692162513733,0.7167019248008728,0.8423472046852112,SAGE,45
0.802571177482605,0.7094155550003052,0.9238900542259216,0.8624094724655151,MLP,45
0.857740581035614,0.8488612771034241,0.8668076395988464,0.9260467290878296,HexGIN,46
0.7751938104629517,0.8139534592628479,0.7399576902389526,0.8399916887283325,SAGE,46
0.819915235042572,0.8216560482978821,0.8181818127632141,0.8998207449913025,MLP,46
0.8241525292396545,0.8259023427963257,0.8224101662635803,0.9075980186462402,HexGIN,47
0.7709401845932007,0.6470588445663452,0.9534883499145508,0.8660677671432495,SAGE,47
0.7933157682418823,0.6792168617248535,0.9534883499145508,0.8971009850502014,MLP,47
0.8481675386428833,0.8402489423751831,0.8562368154525757,0.9142109155654907,HexGIN,48
0.7691001892089844,0.6425532102584839,0.957716703414917,0.8384764790534973,SAGE,48
0.7870528101921082,0.6590585112571716,0.9767441749572754,0.891167402267456,MLP,48
0.8556806445121765,0.829365074634552,0.8837209343910217,0.9278882741928101,HexGIN,49
0.7810140252113342,0.7973568439483643,0.7653276920318604,0.8417215347290039,SAGE,49
0.8086642622947693,0.7055118083953857,0.9471458792686462,0.8663561344146729,MLP,49
